Security Code,Security Id,Security Name,Status,Group
500332,PITICEM-B,Pittie Cements & Industries Ltd,Delisted,Z 
500333,PIXTRANS,Pix Transmissions Ltd,Active,B 
500334,PRMRVNY-B,Premier Vinyl Flooring Ltd,Delisted,P 
500335,BIRLACORPN,Birla Corporation Ltd,Active,A 
500336,SURYAROSNI,Surya Roshni Ltd,Active,A 
500337,PRIMESECU,Prime Securities Ltd,Active,B 
500338,PRSMJOHNSN,Prism Johnson Ltd,Active,B 
500339,RAIN,Rain Industries Ltd,Active,A 
500340,ITBHPDM,ITC Bhadrachalam Paperboards Ltd,Delisted,B 
500341,PRUDCAP-BDM,Prudential Capital Markets Ltd,Delisted,Z 
500342,PRUDMOULI,Prudential Sugar Corporation Ltd,Active,B 
500343,AMJLAND,AMJ Land Holdings Ltd,Active,B 
500344,PUNJABTRAC,Punjab Tractors Ltd,Delisted,B 
500345,PPOWER-,PPOWER-,Delisted,Z 
500346,PUNJCOMMU,Punjab Communications Ltd-$,Active,B 
500347,PUNWRDM,Punjab Wireless Systems Ltd,Delisted,B 
500348,QLTYSTL,Quality Steel & Forgings Ltd,Delisted,Z 
500349,RASIC,RASIC,Delisted,Z 
500350,RSWM,RSWM Ltd,Active,B 
500351,RAJPOTU,Rajasthan Polyvin Tubes Ltd,Delisted,Z 
500352,RAJTOOL,Rajasthan Tools Ltd,Delisted,Z 
500353,RAJNSTL-B,Rajinder Steels Tubes Ltd,Delisted,Z 
500354,RAJSREESUG,Rajshree Sugars & Chemicals Ltd,Active,B 
500355,RALLIS,Rallis India Ltd,Active,A 
500356,RAMANEWS,Shree Rama Newsprint Ltd,Active,B 
500357,RAMAPPR-B,Rama Paper Mills Ltd,Active,Z 
500358,RAMAPETRO,Rama Petrochemicals Ltd,Active,XT
500359,RANBAXY,Ranbaxy Laboratories Ltd,Delisted,B 
500360,RAPICUT,Rapicut Carbides Ltd,Active,XT
500361,RASPRO,Ras Propack Lamipack Ltd,Delisted,T 
500362,RECRON,Recron Synthetics Ltd,Delisted,B 
500363,REVAP,Real Value Appliances Ltd,Delisted,Z 
500364,REPETDM,Reliance Petroleum Ltd,Delisted,B 
500365,WELSPLSOL,Welspun Specialty Solutions Ltd,Active,B 
500366,ROLTA,Rolta India Ltd,Delisted,Z 
500367,RUBFILA,Rubfila International Ltd,Active,B 
500368,PATANJALI,Patanjali Foods Ltd,Active,A 
500369,RPGTRANS,RPG Transmission Ltd,Delisted,B 
500370,SALORAINTL,Salora International Ltd,Active,X 
500371,SAMTELIN,Samtel India Ltd-$,Active,XT
500372,SAMTEL,Samtel Color Ltd,Delisted,Z 
500373,CLARIANT,Clariant India Ltd,Delisted,B 
500374,SANAS,Sandvik Asia Ltd,Delisted,B 
500375,SANGHIPOLY,Sanghi Polyesters Ltd,Delisted,Z 
500376,SATYAM,Satyam Computer Services Ltd,Delisted,A 
500377,SHREEJIPHOS,Shreeji Phosphate Ltd,Delisted,Z 
500378,JINDALSAW,Jindal Saw Ltd,Active,A 
500379,SBIHOMEFIN,SBI Home Finance Ltd,Delisted,T 
500380,JKLAKSHMI,JK Lakshmi Cement Ltd,Active,A 
500382,SBIMGNE-B,SBIMGNE-B,Delisted,Z 
500384,BRABOURNE,Brabourne Enterprises Ltd,Delisted,T 
500386,SHAMKNSPIN,Shamken Spinners Ltd,Delisted,XT
500387,SHREECEM,Shree Cement Ltd,Active,A 
500388,SKPMIL,Shree Krishna Paper Mills & Industries Ltd,Active,XT
500389,SILVERLINE,Silverline Technologies Ltd,Active,X 
500390,RELINFRA,Reliance Infrastructure Ltd,Active,T 
500391,SMDYECH,SM Dyechem Ltd,Delisted,X 
500393,SOLPHR--Z,SOL Pharmaceuticals Ltd,Delisted,Z 
500394,SOLCT,Solid Carbide Tools Ltd,Delisted,Z 
500395,SOUTHNHE,Southern Herbals Ltd,Delisted,B 
500396,TASSLDM,Tata SSL Ltd,Delisted,B 
500397,HENKELSPIC,Henkel Spic India Ltd,Delisted,B 
500398,GECAP,GE Capital Transportation Financial Services Ltd,Delisted,B 
500399,STEELCO,Steelco Gujarat Ltd,Active,XT
500400,TATAPOWER,Tata Power Company Ltd,Active,A 
500402,SPMLINFRA,SPML Infra Ltd,Active,B 
500403,SUNDRMFAST,Sundram Fasteners Ltd,Active,A 
500404,SUNFLAG,Sunflag Iron & Steel Company Ltd,Active,B 
500405,SPLPETRO,Supreme Petrochem Ltd,Active,A 
500406,SURYAGRO,Surya Agroils Ltd,Delisted,B 
500407,SWARAJENG,Swaraj Engines Ltd,Active,B 
500408,TATAELXSI,Tata Elxsi Ltd,Active,A 
500409,TAHYDDM,Tata Hydro-Electric Power Supply Co Ltd,Delisted,B 
500410,ACC,ACC Ltd,Active,A 
500411,THERMAX,Thermax Ltd,Active,A 
500412,TIRUMALCHM,Thirumalai Chemicals Ltd,Active,B 
500413,THOMASCOOK,Thomas Cook (India) Ltd,Active,A 
500414,TIMEX,Timex Group India Ltd-$,Active,B 
500415,TISCSPN-B,TISCSPN-B,Delisted,Z 
500416,TITAGRST,Titagarh Steels Ltd,Delisted,T 
500417,TITANAL,Titan Alloys Ltd,Delisted,Z 
500418,TOKYOPLAST,Tokyo Plast International Ltd,Active,B 
500419,TOLANDM,Tolani Bulk Carriers Ltd,Delisted,B 
500420,TORNTPHARM,Torrent Pharmaceuticals Ltd,Active,A 
500421,TPINDIA,TPI India Ltd,Active,X 
500422,TRANSCHEM,Transchem Ltd-$,Active,XT
500423,TVSEL,TVS Electronics Ltd,Delisted,B 
500424,TVSSZDM,TVSSZDM,Delisted,B 
500425,AMBUJACEM,Ambuja Cements Ltd,Active,A 
500426,UTLINDS,UTL Industries Ltd,Active,XT
500427,UNIFLEX,Uniflex Cables Ltd-$,Delisted,B 
500428,UNIPLAS,Uniplas India Ltd,Delisted,Z 
500429,UNIENTER,Uniphos Enterprises Ltd,Active,B 
500430,UNITEDWESTB,United Western Bank Ltd,Delisted,B 
500431,USHAINDIA,Usha India Ltd,Delisted,Z 
500432,USHAISPAT,Usha Ispat Ltd,Delisted,XD
